surgery_year,surgery_extent_bucket,histology_bucket,central_lnd_yes_no,n_specimens,n_examined_ok,n_positive_ok,n_both_ok,n_both_unresolved,pct_examined,pct_positive,pct_both
2009,total_or_near_total,FTC_family,1,3,3.0,3.0,3.0,0.0,100.0,100.0,100.0
2009,total_or_near_total,PTC_family,0,25,25.0,7.0,7.0,0.0,100.0,28.0,28.0
2009,total_or_near_total,PTC_family,1,33,33.0,32.0,32.0,0.0,100.0,96.97,96.97
2009,total_or_near_total,other_histology,0,5,5.0,4.0,4.0,0.0,100.0,80.0,80.0
2009,total_or_near_total,other_histology,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2009,total_or_near_total,unknown_histology,0,46,45.0,2.0,2.0,1.0,97.83,4.35,4.35
2009,total_or_near_total,unknown_histology,1,23,23.0,23.0,23.0,0.0,100.0,100.0,100.0
2010,lobectomy_hemi,FTC_family,0,5,5.0,3.0,3.0,0.0,100.0,60.0,60.0
2010,lobectomy_hemi,FTC_family,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2010,lobectomy_hemi,PTC_family,0,10,10.0,0.0,0.0,0.0,100.0,0.0,0.0
2010,lobectomy_hemi,PTC_family,1,11,11.0,11.0,11.0,0.0,100.0,100.0,100.0
2010,lobectomy_hemi,other_histology,0,1,1.0,0.0,0.0,0.0,100.0,0.0,0.0
2010,lobectomy_hemi,other_histology,1,6,6.0,6.0,6.0,0.0,100.0,100.0,100.0
2010,lobectomy_hemi,unknown_histology,0,94,94.0,6.0,6.0,0.0,100.0,6.38,6.38
2010,lobectomy_hemi,unknown_histology,1,35,35.0,35.0,35.0,0.0,100.0,100.0,100.0
2010,other_or_mixed,PTC_family,0,1,1.0,0.0,0.0,0.0,100.0,0.0,0.0
2010,other_or_mixed,PTC_family,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2010,other_or_mixed,other_histology,0,11,11.0,10.0,10.0,0.0,100.0,90.91,90.91
2010,other_or_mixed,unknown_histology,0,4,1.0,1.0,1.0,3.0,25.0,25.0,25.0
2010,total_or_near_total,FTC_family,0,4,4.0,1.0,1.0,0.0,100.0,25.0,25.0
2010,total_or_near_total,PTC_family,0,12,11.0,4.0,4.0,1.0,91.67,33.33,33.33
2010,total_or_near_total,PTC_family,1,38,38.0,38.0,38.0,0.0,100.0,100.0,100.0
2010,total_or_near_total,other_histology,0,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
