# generated_by,scripts/270c_phase_b_planning.py,generated_at,2026-04-17T06:46:38.421027+00:00
schema,name,object_type,row_count,disposition,identical_in_archive_pub_v1_0,identical_in_archive_legacy,proposed_target_name,justification
main,molecular_results_contract_v,VIEW,10861,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__molecular_results_contract_v_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,molecular_results_contract_v1,VIEW,10861,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__molecular_results_contract_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,molecular_results_enriched_v1,VIEW,10861,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__molecular_results_enriched_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,molecular_test_episode_v2,BASE TABLE,10126,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__molecular_test_episode_v2_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,molecular_testing,BASE TABLE,10862,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__molecular_testing_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,molecular_variant_long,BASE TABLE,1640,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__molecular_variant_long_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,molecular_variant_long_contract_v1,VIEW,1640,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__molecular_variant_long_contract_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,mri_imaging,BASE TABLE,715,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__mri_imaging_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_complications,BASE TABLE,9359,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_complications_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_genetics,BASE TABLE,1738,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_genetics_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_airway_invasion,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_airway_invasion_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_cervical_ln_detail,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_cervical_ln_detail_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_dynamic_risk_response,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_dynamic_risk_response_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_frozen_section_detail,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_frozen_section_detail_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
